Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
215bbeff-bec0-436c-a96c-5b20bc88d6eb,,,1. Bois Neuf,1. Bois Neuf,1. Bois Neuf,1. Bois Neuf,1. Bois Neuf,1. Bois Neuf,Misc,N/A,,,,,,,,,,,
92b9e996-686e-482d-aa91-d373a17ac6b6,,,2. Drouillard,2. Drouillard,2. Drouillard,2. Drouillard,2. Drouillard,2. Drouillard,Misc,N/A,,,,,,,,,,,
a2a38026-48c7-42aa-86ed-ab288d710cf5,,,3. Zone around Sakala,3. Région autour de Sakala,3. Zone around Sakala,3. Région autour de Sakala,3. Zone around Sakala,3. Région autour de Sakala,Misc,N/A,,,,,,,,,,,
c0dbf069-1689-4b84-bae4-3daf3f1d3f70,,,4. La Plaine,4. La Plaine,4. La Plaine,4. La Plaine,4. La Plaine,4. La Plaine,Misc,N/A,,,,,,,,,,,
0aedcb5b-d019-4aa6-9d43-ec289d2fddd3,,,5. Other zones in Cité Soleil,5. Autres zones de Cité Soleil,5. Other zones in Cité Soleil,5. Autres zones de Cité Soleil,5. Other zones in Cité Soleil,5. Autres zones de Cité Soleil,Misc,N/A,,,,,,,,,,,
13f8035d-94b8-4a70-b0a0-e33205cc21aa,,,6. Other zones near Cité Soleil,6. Autres zones proches de Cité Soleil,6. Other zones near Cité Soleil,6. Autres zones proches de Cité Soleil,6. Other zones near Cité Soleil,6. Autres zones proches de Cité Soleil,Misc,N/A,,,,,,,,,,,
76720787-43ec-46dc-994a-aaefd20ba7d6,,,7. Zones in Port-au-Prince that are not close to Cité Soleil,7. Zones de Port-au-Prince qui ne sont pas proches de Cité Soleil,7. Zones in Port-au-Prince that are not close to Cité Soleil,7. Zones de Port-au-Prince qui ne sont pas proches de Cité Soleil,7. Zones in Port-au-Prince that are not close to Cité Soleil,7. Zones de Port-au-Prince qui ne sont pas proches de Cité Soleil,Misc,N/A,,,,,,,,,,,
329bcfac-6498-47d9-8bc7-40048c3ec800,,,8. Distant location,8. Lieu lointain,8. Distant location,8. Lieu lointain,8. Distant location,8. Lieu lointain,Misc,N/A,,,,,,,,,,,
157faab2-fd0f-411a-8841-1f3f3b171f37,,,Zone,Zone,Zone,Zone,Zone,Zone,Misc,Coded,,1. Bois Neuf;2. Drouillard;3. Zone around Sakala;4. La Plaine;5. Other zones in Cité Soleil;6. Other zones near Cité Soleil;7. Zones in Port-au-Prince that are not close to Cité Soleil;8. Distant location,,,,,,,,,
